Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772862957,250,,Aggregated,69.700000,8.900000,2600,2700,2900,3100,4500,5600,8200,15000,94000,113000,114000,198793,77671,2600.0,2701.513876000754,0.422617988078855,113992.90255300002,3.7798061299945167
1772862958,250,,Aggregated,70.200000,8.700000,2600,2700,2900,3100,4500,5600,8200,15000,94000,113000,114000,198857,77684,2600.0,2701.4748151323233,0.422617988078855,113992.90255300002,3.780470388268957
1772862959,250,,Aggregated,70.600000,8.900000,2600,2700,2900,3100,4500,5600,8200,15000,94000,113000,114000,198948,77700,2600.0,2701.4430799647075,0.422617988078855,113992.90255300002,3.7814906407704525
1772862960,250,,Aggregated,67.000000,8.200000,2600,2700,2900,3100,4500,5600,8200,15000,94000,113000,114000,199010,77709,2600.0,2701.4262587362196,0.422617988078855,113992.90255300002,3.7818401085372595
1772862961,250,,Aggregated,69.700000,9.200000,2600,2700,2900,3100,4500,5600,8200,15000,94000,113000,114000,199064,77718,2600.0,2701.4015777353934,0.422617988078855,113992.90255300002,3.7823564280834305
1772862962,250,,Aggregated,70.400000,9.900000,2600,2700,2900,3100,4500,5600,8200,15000,94000,113000,114000,199146,77733,2600.0,2701.372484214035,0.422617988078855,113992.90255300002,3.7833097325580227
1772862963,250,,Aggregated,69.400000,9.900000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199232,77748,2600.0,2701.331906701124,0.422617988078855,113992.90255300002,3.784186275297141
1772862964,250,,Aggregated,68.400000,10.200000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199278,77753,2600.0,2701.300605783366,0.422617988078855,113992.90255300002,3.7843063459087305
1772862965,250,,Aggregated,69.800000,10.500000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199350,77765,2600.0,2701.262105029964,0.422617988078855,113992.90255300002,3.7849661399548533
1772862966,250,,Aggregated,70.400000,11.300000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199432,77781,2600.0,2701.2297582640294,0.422617988078855,113992.90255300002,3.7860373460628183
1772862967,250,,Aggregated,68.500000,11.000000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199502,77792,2600.0,2701.198559096151,0.422617988078855,113992.90255300002,3.7867339675792726
1772862968,250,,Aggregated,69.000000,11.900000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199560,77800,2600.0,2701.1612842631143,0.422617988078855,113992.90255300002,3.7869863700140307
1772862969,250,,Aggregated,69.900000,11.900000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199630,77805,2600.0,2701.130591023397,0.422617988078855,113992.90255300002,3.7874217302008715
1772862970,250,,Aggregated,70.400000,11.800000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199705,77815,2600.0,2701.088343980735,0.422617988078855,113992.90255300002,3.787887133521945
1772862971,250,,Aggregated,68.100000,10.900000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199777,77822,2600.0,2701.0532295514236,0.422617988078855,113992.90255300002,3.788308964495412
1772862972,250,,Aggregated,69.100000,10.400000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199834,77828,2600.0,2701.026581685097,0.422617988078855,113992.90255300002,3.7886946165317212
1772862973,250,,Aggregated,71.400000,10.400000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199921,77837,2600.0,2700.9756282053636,0.422617988078855,113992.90255300002,3.7891417109758354
1772862974,250,,Aggregated,69.200000,9.600000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,199991,77847,2600.0,2700.932614552678,0.422617988078855,113992.90255300002,3.789525528648789
1772862975,250,,Aggregated,68.600000,9.300000,2600,2700,2900,3100,4500,5600,8100,15000,94000,113000,114000,200052,77854,2600.0,2700.89801789688,0.422617988078855,113992.90255300002,3.7898546377941735
1772862976,250,,Aggregated,69.800000,9.200000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200114,77865,2600.0,2700.8756191604116,0.422617988078855,113992.90255300002,3.7904444466654006
1772862977,250,,Aggregated,70.100000,9.100000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200196,77875,2600.0,2700.839059452538,0.422617988078855,113992.90255300002,3.79099482507143
1772862978,250,,Aggregated,67.900000,8.300000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200263,77889,2600.0,2700.8155135796005,0.422617988078855,113992.90255300002,3.791653975022845
1772862979,250,,Aggregated,68.800000,8.300000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200325,77893,2600.0,2700.7958050455272,0.422617988078855,113992.90255300002,3.791973043803819
1772862980,250,,Aggregated,69.700000,8.600000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200401,77904,2600.0,2700.7652990328124,0.422617988078855,113992.90255300002,3.792655725270832
1772862981,250,,Aggregated,69.500000,8.600000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200471,77912,2600.0,2700.7271872990045,0.422617988078855,113992.90255300002,3.793067326446219
1772862982,250,,Aggregated,68.700000,8.600000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200535,77919,2600.0,2700.6976806554903,0.422617988078855,113992.90255300002,3.793532301094572
1772862983,250,,Aggregated,68.500000,9.000000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200603,77929,2600.0,2700.659768305804,0.422617988078855,113992.90255300002,3.794045951456359
1772862984,250,,Aggregated,70.500000,9.300000,2600,2700,2900,3100,4500,5600,8100,14000,94000,113000,114000,200685,77938,2600.0,2700.6189618723124,0.422617988078855,113992.90255300002,3.7946184318708425
1772862985,250,,Aggregated,69.000000,9.200000,2600,2700,2900,3100,4400,5600,8100,14000,94000,113000,114000,200751,77948,2600.0,2700.5844912897164,0.422617988078855,113992.90255300002,3.79519902765117
1772862986,250,,Aggregated,68.900000,9.100000,2600,2700,2900,3100,4400,5600,8100,14000,94000,113000,114000,200819,77957,2600.0,2700.547996886689,0.422617988078855,113992.90255300002,3.7956518058550235
